"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Feb 03 12:09:28 UTC 2025","Mon Feb 03 12:09:28 UTC 2025","0","YouTube Tests","Video Playback","","","","Check YouTube video playback2 (with auth)","Test that a video on YouTube can be played with an authenticated session."
"passed","Mon Feb 03 12:09:26 UTC 2025","Mon Feb 03 12:09:28 UTC 2025","1774","YouTube Tests","Home Page","","","","Check YouTube homepage accessibility","Test that YouTube homepage is accessible and returns status code 200."
"passed","Mon Feb 03 12:09:28 UTC 2025","Mon Feb 03 12:09:34 UTC 2025","5666","YouTube Tests","Search func","","","","Test YouTube search functionality","Test that YouTube search works and displays results."
